question,answer,type,source_id
Which country Jan Baptist Van Rensselaer's father is from?,Dutch,compositional,110
"Which film was released earlier, Sathyavan Savithri or Kids Of The Round Table?",Kids Of The Round Table,comparison,111
Where did Gigi Causey's husband graduate from?,Tisch,compositional,112
What nationality is Geodeung Of Geumgwan Gaya's mother?,India,compositional,113
"Which film was released earlier, Xenoa or Divorce Invitation?",Xenoa,comparison,114
What is the cause of death of Alex Matthiessen's father?,leukemia,compositional,115
What is the place of birth of Remigius Of Rouen's father?,Herstal,compositional,116
When did Lord Patrick Crichton-Stuart's father die?,22 January 1794,compositional,117
"Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?","It'S A Joke, Son!",bridge_comparison,118
Are both directors of films The Slayer (Film) and Moscow Heat from the same country?,yes,bridge_comparison,119
"Which school was established first, Whitehorse Manor Junior School or Sabawoon Rehabilitation Centre?",Sabawoon Rehabilitation Centre,comparison,120
Are Little Sachigo Lake and Holden Lake located in the same country?,yes,comparison,121
Who is Henriette Of France (1727–1752)'s maternal grandfather?,Stanisław Leszczyński,inference,122
"Which film has the director born first, Leave It To Henry or The Last Night Of Scheherazade?",Leave It To Henry,bridge_comparison,123
"What is the date of death of Gero Ii, Margrave Of The Saxon Ostmark's father?",3 August 979,compositional,124
"Are Tomskoye, Amur Oblast and Pleshkovo located in the same country?",yes,comparison,125
"Which film came out earlier, I Am Breathing or Ulti Ganga?",Ulti Ganga,comparison,126
"Who was born later, Levon Julfalakyan or Charlotte Spurkeland?",Charlotte Spurkeland,comparison,127
Who is the father of the director of film Red 2 (Film)?,Aldo Parisot,compositional,128
When was the company that published American Scientist founded?,1886,compositional,129
What is the place of birth of Jo Planckaert's father?,Nevele,compositional,130
What is the place of birth of Gwilym Lloyd George's father?,Manchester,compositional,131
"What is the place of birth of James Douglas, 3Rd Earl Of Angus's father?",Tantallon Castle,compositional,132
What nationality is the director of film They Call It Love?,American,compositional,133
What is the place of birth of Zhanna Nemtsova's father?,Sochi,compositional,134
"Which film has the director born earlier, Santa Fe Uprising or Trainer And Temptress?",Trainer And Temptress,bridge_comparison,135
"Which film has the director who was born earlier, Adam'S Rib or Thendral Veesum?",Adam'S Rib,bridge_comparison,136
"Which country the composer of film Continental, A Film Without Guns is from?",French,compositional,137
Where was the director of film Age-Old Friends born?,"Winnipeg, Manitoba",compositional,138
"Which one was established first, Noerr or Korn Ferry?",Noerr,comparison,139
Where was the father of Eleonora Di Garzia Di Toledo born?,Villafranca del Bierzo,compositional,140
What is the award that the director of film The Last Night Of The Barbary Coast got?,Jean Hersholt Humanitarian Award,compositional,141
"Who is Prince Nicolas, Duke Of Ångermanland's mother?","Princess Madeleine, Duchess of Hälsingland and Gästrikland",inference,142
Who is the paternal grandmother of Princess Augusta Of Waldeck-Pyrmont?,Princess Augusta of Schwarzburg-Sondershausen,inference,143
Where does the director of film The Marquise Of O (Film) work at?,Cahiers du cinéma,compositional,144
"Which film whose director is younger, Joe Palooka In Fighting Mad or Figaro-Ci, Figaro-Là?","Figaro-Ci, Figaro-Là",bridge_comparison,145
"Which film was released first, Ekam – Son Of Soil or Farber'S Nerve?",Farber'S Nerve,comparison,146
Which country Mohammed Al-Modiahki's wife is from?,China,compositional,147
Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?,yes,bridge_comparison,148
Who is Philip Of Sicily's father?,Charles I of Naples,inference,149
"Who was born later, Gideon Johnson Pillow or Holm Jølsen?",Holm Jølsen,comparison,150
"Which film has the director who died first, The Crime Doctor'S Courage or Vasantha Sena (1967 Film)?",The Crime Doctor'S Courage,bridge_comparison,151
"Where did the director of film My Heidelberg, I Can Not Forget You die?",Argentina,compositional,152
"Which film was released earlier, Tiger Of The Seven Seas or My Wife'S Lodger?",My Wife'S Lodger,comparison,153
Do Alice Mary Dowd and Richard N. Palmer have the same nationality?,yes,comparison,154
Who is the father of the director of film Wonders Of The Sea 3D?,Jacques Cousteau,compositional,155
"Which film has the director died first, Le Guignolo or Knights Of The Range?",Knights Of The Range,bridge_comparison,156
"Who died later, Narcís Ventalló or H. Verlan Andersen?",Narcís Ventalló,comparison,157
"Which film was released first, The Beginning Or The End or Hold Back The Night?",The Beginning Or The End,comparison,158
"Who is younger, Aneta Hladíková or René Poupardin?",Aneta Hladíková,comparison,159
Where was the place of death of Prince Christopher Of Greece And Denmark's father?,Thessaloniki,compositional,160
What is the place of birth of the director of film Guilty Of Treason?,New York,compositional,161
"Where did Charles Stewart, 3Rd Duke Of Richmond's father graduate from?",University of Paris,compositional,162
What is the place of birth of the performer of song I Wish (Gabrielle Song)?,Hackney,compositional,163
When was the director of film Jinpa born?,1969,compositional,164
"Which film whose director is younger, Kalippava or A Couch In New York?",A Couch In New York,bridge_comparison,165
"Which film has the director who died earlier, The Love Charm or The Constant Woman?",The Constant Woman,bridge_comparison,166
"Which film came out earlier, Dis-Moi Qui Tuer or Under The Hawthorn Tree (Film)?",Dis-Moi Qui Tuer,comparison,167
Where was the place of death of Tamatoa Vi's father?,Huahine,compositional,168
Where did the director of film Old Man Drinking A Glass Of Beer die?,Brighton,compositional,169
"What is the date of death of Henry St John, 18Th Baron St John Of Bletso's father?",10 May 1912,compositional,170
"Who is younger, Justin Paul or Helly Shah?",Helly Shah,comparison,171
Who was born first out of Marco De Luigi and Fabio Maistro?,Marco De Luigi,comparison,172
"Which film has the director who died earlier, Guns And Guitars or To The Victor?",Guns And Guitars,bridge_comparison,173
"Which film has the director who died later, His Last Haul or The Falcon In San Francisco?",The Falcon In San Francisco,bridge_comparison,174
"Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?","John de Vere, 15th Earl of Oxford",inference,175
Where was the place of death of Alexander Carl Otto Westphal's father?,Kreuzlingen,compositional,176
"Which film has the director born earlier, Jayam Manade or Bulldog Drummond'S Revenge?",Bulldog Drummond'S Revenge,bridge_comparison,177
"Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?",Monster A Go-Go,bridge_comparison,178
Where was the place of death of Alessandro Vitelli's father?,Florence,compositional,179
Where was the performer of song Bag Skyerne born?,Århus,compositional,180
Are both directors of films 16 To Life and Saved By The Belles from the same country?,yes,bridge_comparison,181
Where was the mother of Francis Ii Of France born?,Florence,compositional,182
"Who was born later, Marc De Clerck or Wiesław Perszke?",Wiesław Perszke,comparison,183
"Which film has the director born later, Jesse James' Women or Ride Lonesome?",Ride Lonesome,bridge_comparison,184
What nationality is the director of film Madeleine (1950 Film)?,British,compositional,185
"Which film has the director died first, Edge Of Doom or A Mother'S Secret?",A Mother'S Secret,bridge_comparison,186
"Which song was released earlier, 1990-Sick (Get 'Em All) or Who'S Laughing Now (Song)?",1990-Sick (Get 'Em All),comparison,187
Where did the director of film Desolation Angels (1995 Film) graduate from?,State University of New York at Purchase,compositional,188
"When did Richard Annesley, 2Nd Earl Annesley's father die?",2 September 1770,compositional,189
"Which film has the director died earlier, Lemonade Joe or Bountiful Summer?",Bountiful Summer,bridge_comparison,190
"What is the date of death of Conan Ii, Duke Of Brittany's mother?",1080,compositional,191
When was the director of film Reykjavík-Rotterdam born?,30 June 1963,compositional,192
What is the place of birth of Eiludd Powys's father?,Wales,compositional,193
Where was the director of film At The End Of The Tunnel born?,Rosario,compositional,194
When was Ferdinand Iii Of Limburg Stirum's father born?,1701,compositional,195
Which country the director of film Ulzhan is from?,German,compositional,196
Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?,Franz Joseph I,inference,197
What is the place of birth of Samir Rifai's father?,Amman,compositional,198
Who is the paternal grandmother of Archduchess Dolores Of Austria?,Princess Maria Immaculata of Bourbon-Two Sicilies,inference,199
"Which film has the director died first, Two For Tonight or Light Over Russia?",Two For Tonight,bridge_comparison,200
What is the place of birth of the director of film Peter'S Friends?,Belfast,compositional,201
Where was the composer of film Love Story 1999 born?,Tamil,compositional,202
"Who is the father of Beltrán Vélez De Guevara, Marquis Of Campo Real?","Íñigo Vélez de Guevara, 7th Count of Oñate",inference,203
"Which film whose director is younger, Jeedar or The Rebel Set?",Jeedar,bridge_comparison,204
Where was the mother of Antonio Flores born?,Jerez de la Frontera,compositional,205
What is the place of birth of the performer of song Down Ass Bitch?,Queens,compositional,206
What is the place of birth of Empress Xu (Ming Dynasty)'s husband?,Nanjing,compositional,207
"Which film came out earlier, Niyoti or Angali Pangali?",Niyoti,comparison,208
Which country Aleksandra Marianna Wiesiołowska's father is from?,Polish–Lithuanian Commonwealth,compositional,209
Which country Tivala's father is from?,Maurya dynasty,compositional,210
Who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,inference,211
"Which film has the director who died first, The Face Of Fu Manchu or The Hidden One?",The Hidden One,bridge_comparison,212
What is the place of birth of the director of film Double Or Nothing (1940 Film)?,"New Brunswick, New Jersey",compositional,213
"Which film whose director was born first, The Great Flamarion or The Hollars?",The Great Flamarion,bridge_comparison,214
Do both directors of films Dangerous To Know and Les Côtelettes have the same nationality?,yes,bridge_comparison,215
"Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?",yes,comparison,216
Where was the place of death of the director of film Kathputli (1971 Film)?,Bombay,compositional,217
Where did the director of film Ręce Do Góry study?,National Film School in Łódź,compositional,218
Where was the place of death of Suzanne Farrington's mother?,London,compositional,219
What nationality is the director of film Name The Man?,Swedish,compositional,220
Do Kreesha Turner and Samantha Jo share the same nationality?,yes,comparison,221
What is the place of birth of the director of film Aurora (2018 Film)?,Davao,compositional,222
"Which film has the director born later, Befikre or American Sniper?",Befikre,bridge_comparison,223
When is Prince Napoléon Bonaparte's father's birthday?,15 November 1784,compositional,224
"Which film was released more recently, Toolbox Murders or I Met You In Naples?",Toolbox Murders,comparison,225
Where was the place of death of the composer of song How Long Has This Been Going On??,Hollywood,compositional,226
"Which film has the director died earlier, Youngblood Hawke (Film) or Crook'S Tour?",Crook'S Tour,bridge_comparison,227
Where did William S. Burroughs Jr.'s father study?,Harvard,compositional,228
"Which film has the director who was born earlier, Circus Beely or Tom, Dick And Harry 2?",Circus Beely,bridge_comparison,229
Who is the maternal grandmother of Felipe De Marichalar Y Borbón?,Queen Sofía of Spain,inference,230
Are the directors of both films The Fall Of A Saint and Fighting Through from the same country?,no,bridge_comparison,231
Which country Natalie Portman's husband is from?,French,compositional,232
Who is the father-in-law of Tsandzile Ndwandwe?,Ndvungunye,inference,233
"Which film has the director born earlier, Mister Scarface or Waking Sleeping Beauty?",Mister Scarface,bridge_comparison,234
What is the place of birth of the performer of song Hunter (Björk Song)?,Reykjavík,compositional,235
"Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?",Thomas de Beauchamp,inference,236
Who is the spouse of the director of film Carol'S Journey?,María Barranco,compositional,237
"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",Return Of The Hero,bridge_comparison,238
"Where was the father of Augustus William, Duke Of Brunswick-Bevern born?",Osterholz,compositional,239
Who is the mother-in-law of Lollia Paulina?,Agrippina the Elder,inference,240
"Which film was released more recently, Gaza Ghetto or Kull The Conqueror?",Kull The Conqueror,comparison,241
"Who was born earlier, Raúl Osorio or James B. Harris?",James B. Harris,comparison,242
When was the company that published Woman'S Century founded?,"October 27, 1893",compositional,243
"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,inference,244
"Which film has the director who died earlier, Deuce High or The King Is The Best Mayor?",The King Is The Best Mayor,bridge_comparison,245
"Which film was released earlier, Premium (Film) or Week-End With Father?",Week-End With Father,comparison,246
What nationality is Gevherhan Sultan (Daughter Of Selim Ii)'s father?,Ottoman Empire,compositional,247
Are both Țerova and Slava (River) located in the same country?,yes,comparison,248
Are Graduate University Of Advanced Technology and Fruita Schoolhouse located in the same country?,no,comparison,249
Who is the paternal grandmother of Prince William Of Hesse-Kassel?,Princess Mary of Great Britain,inference,250
Where did the presenter of Tim Russert (Talk Show) die?,Washington,compositional,251
"Which film has the director who died earlier, 11 Harrowhouse or A Little Sister Of Everybody?",A Little Sister Of Everybody,bridge_comparison,252
What is the place of birth of the director of film The Last Horror Movie?,Newport,compositional,253
"Which film has the director who is older, The Woman In The Fifth or End Of Winter?",The Woman In The Fifth,bridge_comparison,254
"Which film has the director who is older, The Girl King or Happy As The Grass Was Green?",Happy As The Grass Was Green,bridge_comparison,255
"Who is George Fitzroy, 1St Duke Of Northumberland's stepmother?",Catherine of Braganza,inference,256
Where does the director of film Ghost In The Machine (Film) work at?,University of British Columbia,compositional,257
"Are Elsah, Illinois and Chah-E Puzeh, Tabas both located in the same country?",no,comparison,258
"Who is the paternal grandmother of Louis, Count Of Verdun?",Gerberge of Lorraine,inference,259
What nationality is Anne Of Burgundy's father?,France,compositional,260
"Which film has the director who was born later, All The Gold In The World or The Crowning Touch?",The Crowning Touch,bridge_comparison,261
"Who lived longer, Csaba Pálinkás or Henry Scheffé?",Henry Scheffé,comparison,262
"Which film was released more recently, Pirates Of The Prairie or Alien Origin?",Alien Origin,comparison,263
Who is the mother of Edward I Of England?,Eleanor of Provence,inference,264
"What is the date of death of Joan, Countess Of Blois's mother?",2 August 1288,compositional,265
"Which album came out first, Issa Album or 3.2.1.?",3.2.1.,comparison,266
Who is Sancho Ramírez's maternal grandfather?,"Bernard-Roger, Count of Bigorre",inference,267
"Which film was released earlier, New Jersey Drive or It Happened At The World'S Fair?",It Happened At The World'S Fair,comparison,268
Who is the spouse of the performer of song Lolita (Leah Labelle Song)?,Rasual Butler,compositional,269
Do director of film Winter Meeting and director of film Year Of The Horse have the same nationality?,no,bridge_comparison,270
Where does Chris Warren (Rugby League)'s father work at?,Nine Network,compositional,271
Where did Davey Boy Smith Jr.'s mother study?,Stampede Wrestling,compositional,272
"Which country Thomas Lyon-Bowes, Lord Glamis's father is from?",British,compositional,273
What nationality is the performer of song Adore You (Jessie Ware Song)?,United Kingdom,compositional,274
"Which film whose director is younger, Dallas 362 or Revenge Of The Barbarians?",Dallas 362,bridge_comparison,275
"Which film has the director born earlier, Spring Storms or Fun In The Barracks?",Fun In The Barracks,bridge_comparison,276
Where was the father of Andrew Balding born?,US,compositional,277
"Which film was released earlier, Anna-Liisa or Children Underground?",Anna-Liisa,comparison,278
Are Arnold Palmer Regional Airport and Luis Muñoz Marín International Airport located in the same country?,yes,comparison,279
Which award the composer of film Pataakha won?,National Film Award for Best Music Direction,compositional,280
What is the place of birth of the performer of song Damage (Pharoahe Monch Song)?,Queens,compositional,281
Where did Henry C. Lord's father graduate from?,Bowdoin College,compositional,282
"Which film whose director is younger, Uncharted Seas or Something Of Value?",Something Of Value,bridge_comparison,283
"Which film has the director born later, My Own Private Idaho or Lucignolo?",Lucignolo,bridge_comparison,284
"What is the date of birth of Prince Bernhard Of Orange-Nassau, Van Vollenhoven's father?","April 30, 1939",compositional,285
"Are the bands The Catheters and Dark At Dawn, from the same country?",no,comparison,286
Who is the paternal grandmother of Ingegerd Olofsdotter Of Sweden?,Sigrid the Haughty,inference,287
Where was the place of death of the creator of Conan The Adventurer (1992 Tv Series)?,Cross Plains,compositional,288
Are the directors of films The Swordsman (Upcoming Film) and Shopworn both from the same country?,no,bridge_comparison,289
Are The Man Who Knew Too Much (1956 Film) and Man On Wire both from the same country?,yes,comparison,290
What is the place of birth of the director of film The Fj Holden?,"Sydney, Australia",compositional,291
"Who was born later, Lisbeth Cathrine Amalie Rose or Princess Raiyah Bint Hussein?",Princess Raiyah Bint Hussein,comparison,292
Where was the performer of song Step Into The Light (Myra Song) born?,California,compositional,293
Which country the director of film One Night At Mccool'S is from?,Norwegian,compositional,294
"Who is the paternal grandfather of Beatrice I, Abbess Of Quedlinburg?",Conrad II,inference,295
"Who is the paternal grandmother of John Iii, Duke Of Cleves?",Elizabeth of Nevers,inference,296
Where was the place of death of George Thomas Orlando Bridgeman's father?,Weston Park,compositional,297
What nationality is Imperial Noble Consort Chunhui's husband?,Qing dynasty,compositional,298
"Which film has the director who died later, Say It With Flowers or Boot Hill Bandits?",Boot Hill Bandits,bridge_comparison,299
"Who is younger, Nicolas Görtler or Michel De Salzmann?",Nicolas Görtler,comparison,300
Which country Anthemiolus's father is from?,Roman Empire,compositional,301
Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?,Arizona,compositional,302
"Who is Charles D'Orléans, Duke Of Penthièvre's paternal grandfather?","Louis Philippe II, Duke of Orléans",inference,303
"Which film has the director who is older than the other, Judy Berlin or Tonight At Twelve?",Tonight At Twelve,bridge_comparison,304
"What nationality is Ferdinand Of Portugal, Duke Of Guarda's mother?",Spanish,compositional,305
"Did the movies Passer L'Hiver and In My Skin, originate from the same country?",yes,comparison,306
"Are both director of film Germany, Year Zero and director of film Cross Shot from the same country?",yes,bridge_comparison,307
"Which film has the director who was born first, Ghost-Town Gold or The Musician Killer?",Ghost-Town Gold,bridge_comparison,308
What is the place of birth of Consort Liang's husband?,Chinese,compositional,309
Where did Muza Niyazova's husband die?,Ashgabat,compositional,310
"Are both stations, Muzaffargarh Railway Station and Raisan Railway Station, located in the same country?",yes,comparison,311
Do John Amyas Alexander and Albert Seward share the same nationality?,yes,comparison,312
"Who is younger, Bernard Chambaz or Tibor Pézsa?",Bernard Chambaz,comparison,313
Which award the composer of film Bhookh (1947 Film) won?,Sangeet Natak Akademi Award,compositional,314
"Which film has the director who was born first, The Ballad Of Gregorio Cortez or Naiyya?",The Ballad Of Gregorio Cortez,bridge_comparison,315
"Which film has the director who is older, The Boy Turns Man or A Strange Adventure?",A Strange Adventure,bridge_comparison,316
"Who is Joan, Countess Of Chiny's paternal grandfather?","Louis III, Count of Chiny",inference,317
"Where was the father of Prince Charles Louis, Duke Of Chartres born?",Rabat,compositional,318
"Where was the place of burial of Ælfgar, Earl Of Mercia's mother?",Coventry,compositional,319
Which country Dexter Young's mother is from?,China,compositional,320
Who is the spouse of the performer of song Ängeln I Rummet?,Efva Attling,compositional,321
Where was the performer of song Égérie (Song) born?,La Trinité,compositional,322
"Who is Thomas Stafford, 3Rd Earl Of Stafford's father?","Hugh de Stafford, 2nd Earl of Stafford",inference,323
What is the place of birth of the director of film Stopp! Tänk På Något Annat?,Västerås,compositional,324
Who is the child of the director of film Lo Que Le Pasó A Reynoso?,Leopoldo Torre Nilsson,compositional,325
"Which film was released more recently, Circus Of Love or The Kiss Of Evil?",The Kiss Of Evil,comparison,326
"Which film has the director who is older than the other, One Down, Two To Go or Andrei Svislotskiy?","One Down, Two To Go",bridge_comparison,327
